,BANKRUPTCY,CENTRALBANK,DEBT,DEFLATION,DEREGULATION,EARNINGSREPORT,GOLDPRICE,HOUSING_PRICES,INFLATION,INTEREST_RATES,IPO,MIDDLECLASS,OILPRICE,STOCKMARKET,TRADE_DISPUTE
2017-04-09,-1.27637420355034,-1.24653613302579,-1.49846504717852,-2.25125510277719,-1.06879335053377,0.829802291525027,1.21535576963579,-0.077346586838756,-1.80709970939242,-0.693982746653303,-0.574638654270169,-0.534429463342262,-1.62363434462087,-0.510500587599812,-0.963560684130107
2017-04-10,-2.24466052947731,-1.34824612980646,-0.985719609630223,-1.38028591484177,-0.704278269677311,0.515690359972967,0.701041593723478,-0.399413430948061,-1.20071411502059,-1.16145932981278,0.444971535392935,0.237336145703773,-1.36198234761546,-0.471732254990554,-1.99039954923161
2017-04-11,-1.9417280002606,-1.15336544870155,-1.3525706007849,-1.71491851030142,-0.522298356242337,-1.04860899918752,0.178826778396153,-0.362397102791576,-1.72833812308393,-0.798827697081362,0.186946567813025,-0.802987111417794,-1.5498659202998,-0.437736927011096,-2.01114518611328
2017-04-12,-2.38900312707451,-1.20153096616363,-1.3214526742332,-0.530006981862127,-0.681632763563543,0.461880169384472,-0.099267154246177,0.053199326659857,-1.58471929132808,-0.970536486428817,0.7363174649537,-1.25472718769067,-1.2407272523875,-0.344080830347308,-2.0947563377474
2017-04-13,-1.92712480530157,-1.20112894275322,-1.16091154225394,-1.10624569394851,-0.897060939512734,1.04531804143504,0.746860615655182,0.266788680256511,-0.962932848256031,-0.731984771068803,0.297370884038232,-2.07789332597263,-1.26193836750741,-0.239771561620304,-1.87707657106509
2017-04-14,-1.72268860892279,-1.08909377885136,-1.12351473692268,-1.10991966454868,-1.40146828282839,0.586623342872666,1.0805930812774,-0.027428849174493,-1.37114760353279,-0.963110906136203,0.074130026231647,-1.10836802911204,-1.61611936416667,-0.399294525897657,-2.13748188570759
2017-04-15,-2.07574878867116,-1.79547501607284,-1.47633365741128,-2.5347164096907,-0.563447025525079,1.2726625117384,1.29958134346117,-0.427057179120794,-1.45947833666726,-1.0852320442428,0.234414912104287,-1.32976493199583,-1.87586109083047,-0.314572676013841,-1.90326551148558
2017-04-16,-1.81102285283783,-1.39168578229557,-1.62405625212171,-1.98693710644116,-0.601318892039351,1.05144109404732,0.007280552278458,0.075950523813175,-1.01179766765275,-0.600239056063526,-0.467999209170921,-1.45226670022437,-1.42068653379488,0.070599783239429,-1.87794385490802
2017-04-17,-1.83895598597795,-1.26688067788345,-1.25096191821408,-2.23467072856632,-0.890195070461095,1.03488797423998,0.468020737687221,-0.080445930982215,-1.0937578452732,-0.53420649638987,-0.137293554300832,-1.0678015096201,-1.3605649839879,-0.173225994995395,-2.00685973550784
2017-04-18,-1.88769126915988,-0.833731534688929,-1.29167099495312,-1.09070662459958,-1.31370443327012,0.658620787425698,0.415647179201029,0.302322194622668,-1.45755906328508,-0.407932648759622,-0.212523908807525,-1.04894653442704,-1.47438523334937,-0.220838283238755,-1.87277739460728
2017-04-19,-2.30392949361424,-1.04766100459816,-1.28260822401746,-1.03172130250413,-1.54506850253801,1.01966225930482,0.378884087638966,0.364353800966156,-1.40460568149686,-0.391048576194683,0.386444944770008,-1.60951311947086,-1.20865004428057,-0.205069809012928,-1.67440332498994
2017-04-20,-2.06849600983441,-1.01927143479054,-1.30504248641196,-0.780348495942451,-1.00232200838269,-0.337751073156158,0.766069045412085,0.796902864298573,-2.33785182940679,-0.396411586396568,0.475113559438281,-1.14111793195133,-1.310685726304,-0.165236992776647,-1.85037242418805
2017-04-21,-2.08401549114438,-1.09226852416129,-1.34482957205228,-1.35116824716353,-1.17673895997673,0.800721808780586,1.00636011240521,0.589944018000919,-2.48818986840506,-0.739078017341901,0.435066718497111,-0.420707351372308,-1.670567145563,-0.260382931626429,-1.83010126369807
2017-04-22,-2.00980668347313,-1.54187260978786,-2.07683328439818,-2.11161437034141,-1.75090771347818,0.58097162586762,0.872354372233827,0.589437647396805,-3.00631445939401,-0.500831144959381,-0.025126574060824,-1.51506686765895,-3.00400618798855,-0.46483023100362,-1.49409054542395
2017-04-23,-1.76870545158828,-1.20791783341633,-2.11823939007012,-1.97211503800285,-1.81304744673307,0.832366599710102,0.575067915010734,0.813848080438908,-1.90147833379382,-0.623659984511469,0.080002974691276,-1.59916672087104,-1.65129110250785,-0.578254013949656,-2.29497924062647
2017-04-24,-2.09164409973003,-0.76722416789664,-1.23940707799505,-1.1201088460465,-1.47425944731252,0.916698859113951,0.854382603208865,0.587496179688431,-1.03794686303588,-0.324244124786464,0.430892180929023,-1.75982066466838,-1.1071871208973,0.007227172009722,-2.13291705422981
2017-04-25,-1.42773885155874,-0.852331363104202,-1.19269664697684,-0.962063408522604,-1.05007541620905,1.26488687699206,0.751640272282494,0.151914823383551,-1.23144187245375,-0.24069897668018,0.292060509929388,-0.816051218191168,-0.925432870432018,0.112269169120191,-2.35112821994157
2017-04-26,-1.31450509617028,-0.690828649024825,-1.63018612146056,-1.62814816600218,-1.35439225781155,1.2235570155465,0.667038602544547,-0.365433088001591,-1.16315338131074,-0.343890578159809,0.403141304290522,-2.5122826902455,-1.2466374737125,0.017376311284777,-2.24097244211153
2017-04-27,-1.81799589456519,-1.0328940811255,-1.56516403149249,-1.24100098112675,-1.5526054099357,1.36083496614604,0.24407626156844,-0.209656527672192,-1.31323735981948,-0.763436997412874,0.470808394194864,-1.7707765374642,-1.41088132371247,-0.025682858036088,-1.9140397854035
2017-04-28,-2.1767736011105,-1.01172110980834,-1.31722907673551,-1.12954973137556,-2.2810250272872,1.09123424556434,1.45655855160199,0.085112160049738,-1.14104693337395,-0.713889045374423,0.39140303303144,-1.16873875070284,-1.02507589671769,-0.001192790738335,-2.21164938861045
2017-04-29,-2.82298309344603,-0.898352144492723,-1.58803379471015,-1.27731295355752,-2.31677040533307,1.12941527739326,1.55879076821309,-0.067486657534487,-1.13055243640644,-0.666718247642682,0.388099761599899,-0.913028798945808,-1.69789902028581,-0.477843762867415,-1.7356702664367
2017-04-30,-1.74077452103269,-0.889425029189807,-1.2277492593974,-2.22495438386552,-1.1248123091345,0.817807405905705,1.22810509517112,-0.154474753644177,-1.85826357066137,-0.699289395493936,0.098690768153911,-1.3950413335351,-1.21659678736241,-0.125411604634863,-2.1345412450339
2017-05-01,-2.55065796572601,-0.99587922729031,-1.35050276998704,-1.7215086173645,-0.668267708699208,1.11597562670536,0.623107948608313,0.160022020900701,-1.53124118671643,-0.56863414458995,-0.237526935416592,-0.650407719451882,-1.53127244340893,-0.071962000289684,-2.19729443838757
2017-05-02,-1.57486298351224,-0.732484648188602,-1.03202859160384,-0.922102157351271,-1.30931199315504,1.2175765802055,0.665449578649802,0.186999824896094,-1.51281792626308,-0.256267988228846,0.010723666892807,-0.913141581442956,-0.897686059596416,0.040701041030025,-2.05081785768012
2017-05-03,-2.60471129049067,-0.969848904379148,-1.1742092653067,-1.08757330714574,-1.44453883110684,1.0237620626163,0.468937390970098,0.073836069168989,-1.08258594167703,-0.639797276877081,0.431920402303856,-0.801581134188302,-1.09355531295592,-0.032430272035049,-1.96459301920145
2017-05-04,-2.46016310417508,-0.817179059952781,-0.941632625678785,-1.17507831187218,-1.53194399463198,0.867054283182105,0.923770138311671,0.287064824276429,-1.14878846199798,-0.421791948540576,0.443534200203563,-0.519080198098409,-0.895593012740208,0.022954224340982,-1.86651709563805
2017-05-05,-1.78336825906199,-1.16783467345338,-0.80989728855849,-1.19940047395986,-1.7023116480704,0.765776519638068,0.692172468651458,0.159238774899122,-1.1299433261845,-0.72581291184942,0.448246674826198,-0.580781277203348,-1.66746455362677,-0.023574865443738,-1.45674678341551
2017-05-06,-2.61429733252066,-0.956905259795352,-1.2619194563809,-0.921655577604767,-1.04077057767309,1.08106031583352,-0.338445059679644,0.235530708153771,-2.07838137697135,-0.266678602239139,0.060281562755609,-0.737668822403758,-1.40405261507429,0.128660029183189,-2.48047192448847
2017-05-07,-1.775032564509,-0.301518718133546,-0.870511162164955,-1.02032319372471,-1.16324318690733,0.981473952049058,0.786008629788034,0.232411223919184,-1.90048661737435,-0.398720830932224,1.14288953678961,-0.51313968995639,-1.43990337519394,0.036870571754469,-2.56745893213094
2017-05-08,-1.84273981966341,-0.677298387184001,-0.67489052285993,-1.80154118207459,-0.757166323104021,0.772809087681667,0.683172818454266,0.131752156640529,-1.16867035725435,-0.170848204611916,0.26653941849882,-0.23927752430666,-0.900280351600205,0.184110745472696,-1.9700643968156
2017-05-09,-2.23415283058562,-0.934478475560556,-0.866981310044427,-1.54220301720007,-0.945981611200003,0.271291219066122,0.822907027738561,0.266480377963628,-1.41421962499274,-0.635291151624615,0.20552392218826,-0.976802984749738,-0.958087464385216,-0.035924099587246,-2.1055949575381
2017-05-10,-1.94994765604288,-1.41138699701539,-0.582322068566311,-0.182526304203246,-1.06442369865932,-0.097530279113094,1.07751719920588,0.261965542129194,-1.65035824172808,-0.262588853957321,-0.034277885567374,-0.904507273949434,-1.39925541537493,0.002274635115501,-1.43374133895294
2017-05-11,-1.58492945875777,-1.33499778495007,-0.463275634765509,-1.73065511554558,-1.07887047625525,-0.810381181559702,0.653501962215803,0.298988610211925,-1.72916428884275,-0.168465458907913,-0.604784912250977,-0.886266162511131,-1.30875609309933,-0.06971762581758,-1.90438610160158
2017-05-12,-1.78060181885392,-1.09994732855805,-1.50471685599454,-1.32162845754902,-1.33088589589824,-0.227034418606394,0.014850207560145,0.061206884251788,-1.4470219324271,-0.885314657215796,0.174501612854546,-0.92106576216201,-1.65924438453148,-0.325217092308517,-1.98078021005416
2017-05-13,-1.80120621374452,-1.93087840381423,-1.63286257510751,-1.3015301755608,-1.36313475361257,0.410178300084702,1.661413085936,0.160791289766708,-1.52077301879957,-0.718766080825705,0.0903323746555,-1.13701259840965,-1.67900844911469,-0.303886833631629,-0.99859680182782
2017-05-14,-2.15744269300041,-1.42406867682317,-0.804132185264475,-2.16991575960939,-1.39869746183862,0.892771432772113,0.145613730386467,0.073301913742349,-1.45711944197604,-0.326038772751112,0.574362724132172,-1.18314814750848,-1.09229144384053,-0.066152736047693,-0.981370426181909
2017-05-15,-2.539278141081,-1.30017234982477,-1.11326383684941,-1.47367355520255,-1.41626747670748,-0.11360262686086,-0.118226873711304,0.284579303814006,-0.991137847136502,-0.165377316816965,0.299349345882564,-0.703701312341831,-0.983108223714475,-0.079929685061824,-1.28881970094148
2017-05-16,-2.66492977593377,-1.94733645933555,-1.00073313240653,-1.05869172699094,-1.17466851163878,0.479235250935619,0.648104846315274,-0.04747960485584,-1.85264197381472,-0.375017248554161,0.004763343944344,-0.551834786880905,-0.813420454447179,-0.078188300707245,-0.859073792297434
2017-05-17,-3.68704759796457,-1.58323228146773,-1.60399321908274,-0.885854348898226,-1.692832374364,0.545899122434375,-0.764676332331583,0.518964160137543,-2.14435215108126,-1.05310330103237,0.101760225481574,-0.802434945344895,-1.57486546565309,-0.419654762795947,-1.66242612666809
